id,name,price,category,brand,description
25,Cat Travel Backpack,55.0,Carriers,TravelPaws,"Travel backpack for carrying your cat on outdoor adventures."
26,Cat Puzzle Toy,22.0,Toys,PuzzlePlay,"Puzzle toy to challenge your cat's mind and keep them entertained."
27,Cat Hammock,28.0,Furniture,HammockHaven,"Comfortable hammock for your cat to rest and relax."
28,Cat Nail Clippers,15.0,Grooming,ClipNTrim,"Ergonomic nail clippers for easy and safe trimming."
29,Cat Shampoo,12.0,Grooming,ShinyCoat,"Gentle cat shampoo for a clean and shiny coat."
30,Cat Collar with Bell,10.0,Accessories,BellBuddy,"Adjustable collar with bell for your cat's safety."
31,Cat Food Storage Container,25.0,Accessories,FoodGuard,"Airtight food storage container to keep your cat's food fresh."
32,Cat First Aid Kit,20.0,Health,FirstAidFeline,"Comprehensive first aid kit for your cat's emergencies."
33,Cat Hairball Remedy,18.0,Health,HairballHelp,"Effective hairball remedy to support your cat's digestion."
34,Cat Door Flap,40.0,Accessories,DoorDash,"Easy-to-install door flap for your cat's access."
35,Cat Training Clicker,8.0,Accessories,ClickerTrain,"Training clicker to assist in teaching your cat new tricks."
36,Cat Stroller,80.0,Carriers,StrollSafe,"Comfortable stroller for taking your cat on walks."
37,Cat Playpen,60.0,Furniture,PlayPenPal,"Portable playpen for your cat to play and exercise."
38,Cat Heating Pad,30.0,Beds,HeatWave,"Heating pad to keep your cat warm and cozy."
39,Cat Cooling Mat,25.0,Beds,CoolPaws,"Cooling mat to keep your cat comfortable in hot weather."
40,Cat Backpack Carrier,50.0,Carriers,BackpackBuddy,"Backpack carrier for easy transportation of your cat."
41,Automatic Cat Feeder,45.0,Accessories,FeedMaster,"Automatic feeder to ensure your cat is fed on schedule."
42,Cat Grooming Gloves,15.0,Grooming,GroomGlove,"Grooming gloves for easy and effective brushing."
43,Cat Flea Treatment,20.0,Health,FleaFree,"Effective flea treatment to keep your cat pest-free."
44,Cat Ear Cleaner,12.0,Health,EarEase,"Gentle ear cleaner for maintaining your cat's ear health."
45,Cat Eye Drops,10.0,Health,EyeBright,"Eye drops to support your cat's eye health."
46,Cat Paw Balm,8.0,Health,PawPerfect,"Paw balm to keep your cat's paws soft and healthy."
47,Cat Breath Freshener,10.0,Health,BreathFresh,"Breath freshener to keep your cat's breath clean."
48,Cat Calming Spray,15.0,Health,CalmKitty,"Calming spray to reduce your cat's anxiety."
49,Cat Allergy Relief,18.0,Health,AllergyAway,"Allergy relief to support your cat's health."
50,Cat Adventure Kit,50.0,Accessories,AdventurePaws,"Complete adventure kit for taking your cat on outdoor explorations."
